"Reference","Qty","Value","Footprint","MANUFACTURER","Mfg Part #"
"C1,C5,C6,C7,C8,C9,C12","7","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KA5NNNC"
"C2,C4","2","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KA5NQNC"
"C3","1","22u","Capacitor_SMD:CP_Elec_4x5.4","Würth Elektronik","865080340003"
"C10,C11","2","10p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","YAGEO","CC0402JRNPO9BN100"
"D1","1","PMEG2005CT,215","Package_TO_SOT_SMD:SOT-23","Nexperia USA Inc.","PMEG2005CT,215"
"J1","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","GCT","USB4105-GF-A"
"J2","1","Conn_01x21","Connector_PinHeader_2.54mm_Custom:PinHeader_3x07_P2.54mm_Vertical","Samtec Inc.","TSW-107-26-F-T"
"LED1","1","LED_Dual_AKKA","LED_SMD_Custom:LED_APHBM2012QBDSURKC","Kingbright","APHBM2012QBDSURKC"
"MT1","1","ICM-42605","Package_LGA_Custom:XDCR_ICM-42605","TDK InvenSense","ICM-42605"
"R1,R2","2","5k1","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-135K1L"
"R3,R5","2","10k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402JR-0710KL"
"R4","1","68","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0768RL"
"SW1","1","SW_SPST","Button_Switch_SMD_Custom:R-667995_MIT","Mitsumi Electric Company Ltd","R-667995"
"SWD1","1","Conn_02x05_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","Sullins Connector Solutions","GRPB052VWVN-RC"
"U1","1","TCR2EF33_LMCT","Package_TO_SOT_SMD_Custom:SOT-25 SMV_TOS","Toshiba Semiconductor and Storage","TCR2EF33,LM(CT"
"U2","1","STM32G431KBTx","Package_QFP:LQFP-32_7x7mm_P0.8mm","STMicroelectronics","STM32G431KBT6"
"Y1","1","Crystal_GND24","Crystal_Custom:Crystal_SMD_ECS_ECX_2236-4Pin_2.5x2.0mm","ECS Inc.","ECS-160-10-36-CKM-TR3"
